name,url,category,test_type,description,text
SHL Assessment Test 36,https://www.shl.com/products/test-36,Personality,Knowledge,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 36. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 37,https://www.shl.com/products/test-37,Technical,Skill,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 37. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 38,https://www.shl.com/products/test-38,Technical,Personality,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 38. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 39,https://www.shl.com/products/test-39,Behavioral,Skill,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 39. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 40,https://www.shl.com/products/test-40,Aptitude,Personality,This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.,SHL Assessment Test 40. This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.
SHL Assessment Test 41,https://www.shl.com/products/test-41,Aptitude,Skill,"This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments.","SHL Assessment Test 41. This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments."
SHL Assessment Test 42,https://www.shl.com/products/test-42,Cognitive,Personality,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 42. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 43,https://www.shl.com/products/test-43,Technical,Personality,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 43. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 44,https://www.shl.com/products/test-44,Aptitude,Skill,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 44. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 45,https://www.shl.com/products/test-45,Behavioral,Knowledge,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 45. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 46,https://www.shl.com/products/test-46,Technical,Personality,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 46. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 47,https://www.shl.com/products/test-47,Aptitude,Knowledge,This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.,SHL Assessment Test 47. This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.
SHL Assessment Test 48,https://www.shl.com/products/test-48,Aptitude,Knowledge,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 48. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 49,https://www.shl.com/products/test-49,Aptitude,Skill,This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.,SHL Assessment Test 49. This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.
SHL Assessment Test 50,https://www.shl.com/products/test-50,Technical,Knowledge,"This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments.","SHL Assessment Test 50. This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments."
SHL Assessment Test 51,https://www.shl.com/products/test-51,Cognitive,Skill,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 51. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 52,https://www.shl.com/products/test-52,Technical,Personality,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 52. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 53,https://www.shl.com/products/test-53,Personality,Skill,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 53. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 54,https://www.shl.com/products/test-54,Technical,Personality,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 54. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 55,https://www.shl.com/products/test-55,Behavioral,Skill,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 55. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 56,https://www.shl.com/products/test-56,Personality,Skill,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 56. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 57,https://www.shl.com/products/test-57,Aptitude,Skill,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 57. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 58,https://www.shl.com/products/test-58,Aptitude,Knowledge,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 58. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 59,https://www.shl.com/products/test-59,Cognitive,Personality,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 59. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 60,https://www.shl.com/products/test-60,Aptitude,Personality,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 60. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 61,https://www.shl.com/products/test-61,Technical,Skill,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 61. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 62,https://www.shl.com/products/test-62,Behavioral,Skill,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 62. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 63,https://www.shl.com/products/test-63,Aptitude,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 63. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 64,https://www.shl.com/products/test-64,Personality,Knowledge,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 64. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 65,https://www.shl.com/products/test-65,Technical,Personality,This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.,SHL Assessment Test 65. This SHL assessment delivers a standardized assessment aligned with global talent benchmarks and norms.
SHL Assessment Test 66,https://www.shl.com/products/test-66,Cognitive,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 66. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 67,https://www.shl.com/products/test-67,Aptitude,Knowledge,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 67. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 68,https://www.shl.com/products/test-68,Technical,Personality,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 68. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 69,https://www.shl.com/products/test-69,Personality,Knowledge,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 69. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 70,https://www.shl.com/products/test-70,Personality,Skill,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 70. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 71,https://www.shl.com/products/test-71,Cognitive,Personality,This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.,SHL Assessment Test 71. This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.
SHL Assessment Test 72,https://www.shl.com/products/test-72,Technical,Skill,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 72. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 73,https://www.shl.com/products/test-73,Personality,Skill,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 73. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 74,https://www.shl.com/products/test-74,Aptitude,Skill,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 74. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 75,https://www.shl.com/products/test-75,Personality,Skill,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 75. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 76,https://www.shl.com/products/test-76,Behavioral,Skill,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 76. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 77,https://www.shl.com/products/test-77,Cognitive,Personality,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 77. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 78,https://www.shl.com/products/test-78,Personality,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 78. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 79,https://www.shl.com/products/test-79,Behavioral,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 79. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 80,https://www.shl.com/products/test-80,Personality,Personality,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 80. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 81,https://www.shl.com/products/test-81,Behavioral,Skill,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 81. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 82,https://www.shl.com/products/test-82,Behavioral,Skill,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 82. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 83,https://www.shl.com/products/test-83,Technical,Skill,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 83. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 84,https://www.shl.com/products/test-84,Personality,Skill,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 84. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 85,https://www.shl.com/products/test-85,Personality,Personality,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 85. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 86,https://www.shl.com/products/test-86,Personality,Knowledge,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 86. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 87,https://www.shl.com/products/test-87,Cognitive,Knowledge,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 87. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 88,https://www.shl.com/products/test-88,Personality,Personality,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 88. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 89,https://www.shl.com/products/test-89,Behavioral,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 89. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 90,https://www.shl.com/products/test-90,Aptitude,Knowledge,"This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments.","SHL Assessment Test 90. This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments."
SHL Assessment Test 91,https://www.shl.com/products/test-91,Aptitude,Personality,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 91. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 92,https://www.shl.com/products/test-92,Cognitive,Personality,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 92. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 93,https://www.shl.com/products/test-93,Cognitive,Personality,This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.,SHL Assessment Test 93. This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.
SHL Assessment Test 94,https://www.shl.com/products/test-94,Technical,Personality,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 94. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 95,https://www.shl.com/products/test-95,Personality,Knowledge,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 95. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 96,https://www.shl.com/products/test-96,Behavioral,Personality,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 96. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 97,https://www.shl.com/products/test-97,Aptitude,Skill,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 97. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 98,https://www.shl.com/products/test-98,Behavioral,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 98. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 99,https://www.shl.com/products/test-99,Technical,Skill,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 99. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 100,https://www.shl.com/products/test-100,Aptitude,Knowledge,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 100. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 101,https://www.shl.com/products/test-101,Cognitive,Personality,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 101. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 102,https://www.shl.com/products/test-102,Personality,Knowledge,"This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles.","SHL Assessment Test 102. This SHL assessment measures critical thinking, problem-solving, and reasoning capabilities essential for modern roles."
SHL Assessment Test 103,https://www.shl.com/products/test-103,Aptitude,Skill,This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.,SHL Assessment Test 103. This SHL assessment supports hiring decisions by predicting how individuals approach challenges and absorb new information.
SHL Assessment Test 104,https://www.shl.com/products/test-104,Technical,Personality,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 104. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 105,https://www.shl.com/products/test-105,Cognitive,Personality,"This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments.","SHL Assessment Test 105. This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments."
SHL Assessment Test 106,https://www.shl.com/products/test-106,Cognitive,Skill,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 106. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 107,https://www.shl.com/products/test-107,Cognitive,Knowledge,This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.,SHL Assessment Test 107. This SHL assessment assesses a candidate’s ability to analyze complex information and make sound decisions.
SHL Assessment Test 108,https://www.shl.com/products/test-108,Technical,Personality,This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.,SHL Assessment Test 108. This SHL assessment helps organizations identify talent with strong analytical capabilities and learning agility.
SHL Assessment Test 109,https://www.shl.com/products/test-109,Technical,Personality,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 109. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 110,https://www.shl.com/products/test-110,Cognitive,Knowledge,This SHL assessment offers a reliable measure of core workplace competencies used across industries.,SHL Assessment Test 110. This SHL assessment offers a reliable measure of core workplace competencies used across industries.
SHL Assessment Test 111,https://www.shl.com/products/test-111,Cognitive,Knowledge,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 111. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 112,https://www.shl.com/products/test-112,Cognitive,Skill,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 112. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 113,https://www.shl.com/products/test-113,Personality,Knowledge,This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.,SHL Assessment Test 113. This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.
SHL Assessment Test 114,https://www.shl.com/products/test-114,Personality,Skill,This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.,SHL Assessment Test 114. This SHL assessment gives employers data‑driven insights into cognitive strengths relevant to role performance.
SHL Assessment Test 115,https://www.shl.com/products/test-115,Personality,Skill,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 115. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
SHL Assessment Test 116,https://www.shl.com/products/test-116,Technical,Skill,This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.,SHL Assessment Test 116. This SHL assessment provides insight into how effectively individuals interpret data and apply logical strategies.
SHL Assessment Test 117,https://www.shl.com/products/test-117,Cognitive,Knowledge,"This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments.","SHL Assessment Test 117. This SHL assessment evaluates a candidate’s potential to perform well in dynamic, fast‑paced environments."
SHL Assessment Test 118,https://www.shl.com/products/test-118,Aptitude,Knowledge,This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.,SHL Assessment Test 118. This SHL assessment captures a broad spectrum of reasoning skills required for complex job functions.
